City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,kurumkan,54.3,110.3,268.55,78,100,2.11,RU,1731464346
291,luchenza,-16.0069,35.3095,294.32,92,67,1.74,MW,1731464348
292,sal rei,16.1833,-22.9167,298.51,69,13,6.25,CV,1731464349
293,yuzhno-kurilsk,44.0306,145.8556,277.55,54,98,10.74,RU,1731464350
294,buenavista de cuellar,18.45,-99.4167,292.05,67,100,1.1,MX,1731464351
295,hotan,37.0997,79.9269,281.85,47,38,0.62,CN,1731464353
296,cabedelo,-6.9811,-34.8339,299.52,78,0,5.55,BR,1731464354
297,saint-jean-de-monts,46.7833,-2.0667,281.11,88,30,9.13,FR,1731464355
298,brejo,-3.6844,-42.7503,295.82,83,8,1.94,BR,1731464357
299,bodaybo,57.8506,114.1933,263.3,94,100,2.12,RU,1731464358
300,cedeira,43.6797,-8.0209,284.61,72,76,12.2,ES,1731464359
301,port alfred,-33.5906,26.891,288.81,87,89,2.24,ZA,1731464361
302,ugoofaaru,5.6667,73.0,301.53,71,29,3.87,MV,1731464362
303,wuhai,39.6647,106.8122,281.16,56,100,0.13,CN,1731464363
304,vadso,70.0744,29.7487,277.41,78,100,10.31,NO,1731464364
305,san carlos del zulia,9.0,-71.9135,297.66,88,100,1.26,VE,1731464366
306,corner brook,48.9667,-57.9484,278.95,98,100,1.56,CA,1731464367
307,menongue,-14.6585,17.691,290.26,92,100,1.51,AO,1731464368
308,utrik,11.2278,169.8474,301.67,68,1,6.72,MH,1731464370
309,vondrozo,-22.8167,47.2833,292.17,99,45,0.12,MG,1731464371
310,thompson,55.7435,-97.8558,278.24,75,100,4.63,CA,1731464372
311,san juan bautista,-14.0108,-75.7358,290.91,78,0,1.99,PE,1731464373
312,kununurra,-15.7667,128.7333,305.14,62,100,4.63,AU,1731464375
313,ain sefra,32.75,-0.5833,284.86,59,97,2.53,DZ,1731464376
314,prainha,-1.8,-53.48,299.66,67,0,1.61,BR,1731464378
315,phan rang-thap cham,11.5667,108.9833,301.23,74,100,1.36,VN,1731464379
316,igarka,67.4667,86.5833,250.76,98,98,1.93,RU,1731464380
317,castillos,-34.1667,-53.8333,282.3,79,7,2.18,UY,1731464383
318,sao tome,0.3365,6.7273,299.49,84,72,3.14,ST,1731464384
319,bosaso,11.2842,49.1816,297.69,78,1,2.27,SO,1731464385
320,zaragoza,41.6561,-0.8773,282.05,57,99,1.34,ES,1731464386
321,oum hadjer,13.2954,19.6966,298.04,22,2,3.82,TD,1731464388
322,rosarito,32.3333,-117.0333,287.66,71,5,4.44,MX,1731464390
323,kruisfontein,-34.0033,24.7314,287.92,76,22,6.53,ZA,1731464392
324,khromtau,50.2503,58.4347,267.18,91,88,8.51,KZ,1731464393
325,horazdovice,49.3207,13.701,273.37,64,7,0.33,CZ,1731464394
326,baukau,51.5526,7.2042,279.35,96,100,1.15,DE,1731464395
327,mysen,59.5535,11.3258,276.65,98,100,0.45,NO,1731464397
328,jaru,-10.4389,-62.4664,296.14,97,100,3.95,BR,1731464398
329,genhe,50.7833,121.5167,269.7,61,55,1.09,CN,1731464399
330,chimore,-16.9833,-65.1333,295.0,84,100,1.39,BO,1731464400
331,karlovo,42.6333,24.8,279.44,93,100,0.53,BG,1731464402
332,isangel,-19.55,169.2667,303.21,66,20,5.14,VU,1731464403
333,kalat,29.0225,66.5916,280.21,24,3,0.87,PK,1731464404
334,novo aripuana,-5.1206,-60.3797,301.81,53,26,1.25,BR,1731464406
335,hovd,48.0056,91.6419,270.55,23,20,1.92,MN,1731464407
336,mahdia,35.5047,11.0622,290.07,70,26,2.73,TN,1731464408
337,san-pedro,4.7485,-6.6363,297.84,89,74,0.68,CI,1731464409
338,hasaki,35.7333,140.8333,291.44,58,0,9.95,JP,1731464411
339,norfolk,42.1668,-71.2495,277.6,54,0,0.89,US,1731464412
340,fort mcmurray,56.7268,-111.381,269.92,80,100,4.12,CA,1731464413
341,bandipura,34.4167,74.65,281.16,49,92,2.48,IN,1731464415
342,pijijiapan,15.7011,-93.23,297.08,93,100,1.85,MX,1731464416
343,dryden,49.7833,-92.7503,277.31,60,40,7.72,CA,1731464417
344,arenapolis,-14.4503,-56.8461,295.74,97,100,0.98,BR,1731464418
345,sinabang,2.4803,96.3801,301.22,78,91,1.22,ID,1731464420
346,ca mau,9.1769,105.15,302.89,70,6,0.26,VN,1731464421
347,abergavenny,51.821,-3.0174,280.42,95,100,2.54,GB,1731464422
348,svatove,49.4103,38.1503,271.72,86,56,2.24,UA,1731464424
349,south grafton,-29.7,152.95,301.74,48,42,1.48,AU,1731464425
350,timbuktu,16.7735,-3.0074,297.87,17,65,4.0,ML,1731464426
